<><><><><><><><> 
Begin: 22-May-2014 17:49:32 
0.484 0.011 0.011 
0.283 0.011 0.011 
0.217 0.011 0.011 
0.501 0.011 0.011 
0.399 0.011 0.011 
0.400 0.011 0.011 
0.567 0.011 0.011 
0.450 0.011 0.011 
0.450 0.011 0.011 
0.551 0.011 0.011 
0.518 0.011 0.011 
0.434 0.011 0.011 
0.283 0.011 0.011 
0.300 0.011 0.011 
0.551 0.011 0.011 
0.217 0.011 0.011 
<><><><><><><><> 
RT (mean):  0.08 
<><><><><><><><> 
End: 22-May-2014 17:52:13 
