<><><><><><><><> 
Begin: 26-Feb-2014 11:01:12 
0.584 0.012 0.012 
0.333 0.012 0.012 
0.834 0.012 0.012 
0.284 0.012 0.012 
0.434 0.012 0.012 
0.400 0.012 0.012 
0.633 0.527 0.527 
0.283 0.059 0.059 
0.534 0.251 0.251 
0.284 0.467 0.467 
0.300 0.670 0.670 
0.834 0.334 0.334 
0.435 0.059 0.059 
0.684 0.596 0.596 
0.968 0.012 0.012 
0.551 0.012 0.012 
0.767 0.012 0.012 
0.817 0.012 0.012 
0.551 0.012 0.012 
0.734 0.012 0.012 
0.284 0.012 0.012 
0.951 0.012 0.012 
0.350 0.012 0.012 
0.418 0.012 0.012 
0.850 0.012 0.012 
0.601 0.012 0.012 
0.818 0.012 0.012 
0.517 0.253 0.253 
0.418 0.144 0.144 
0.234 0.507 0.507 
0.750 0.012 0.012 
0.551 0.012 0.012 
0.567 0.011 0.011 
0.685 0.012 0.012 
0.250 0.500 0.500 
0.450 0.012 0.012 
0.817 0.012 0.012 
0.767 0.012 0.012 
0.300 0.011 0.011 
0.300 0.012 0.012 
0.283 0.011 0.011 
0.216 0.012 0.012 
0.534 0.012 0.012 
0.734 0.012 0.012 
0.785 0.012 0.012 
0.633 1.042 1.042 
0.284 0.012 0.012 
0.716 0.012 0.012 
0.301 0.012 0.012 
0.317 0.012 0.012 
0.284 0.012 0.012 
0.316 0.012 0.012 
0.334 0.011 0.011 
0.367 0.012 0.012 
0.450 0.011 0.011 
0.452 0.012 0.012 
0.384 0.012 0.012 
0.401 0.012 0.012 
0.917 0.012 0.012 
0.767 0.011 0.011 
0.651 0.011 0.011 
0.350 0.012 0.012 
0.367 0.012 0.012 
0.267 0.012 0.012 
0.934 0.012 0.012 
0.767 0.012 0.012 
0.651 0.012 0.012 
0.450 0.012 0.012 
0.333 0.012 0.012 
0.701 0.012 0.012 
1.001 0.012 0.012 
0.334 0.012 0.012 
0.417 0.012 0.012 
0.517 0.012 0.012 
0.267 0.012 0.012 
0.751 0.012 0.012 
0.533 0.012 0.012 
0.984 0.012 0.012 
0.518 0.012 0.012 
0.700 0.012 0.012 
0.334 0.012 0.012 
0.501 0.012 0.012 
0.333 0.012 0.012 
0.817 0.012 0.012 
0.901 0.012 0.012 
0.485 0.012 0.012 
0.750 0.012 0.012 
0.434 0.012 0.012 
0.634 0.012 0.012 
0.867 0.011 0.011 
0.685 0.012 0.012 
0.467 0.012 0.012 
0.450 0.012 0.012 
0.566 0.012 0.012 
0.533 0.011 0.011 
0.484 0.012 0.012 
0.651 0.012 0.012 
0.801 0.012 0.012 
0.551 0.012 0.012 
0.551 0.012 0.012 
0.300 0.012 0.012 
0.217 0.012 0.012 
0.434 0.012 0.012 
0.450 0.011 0.011 
0.733 0.012 0.012 
0.968 0.012 0.012 
0.951 0.012 0.012 
0.567 0.012 0.012 
0.400 0.012 0.012 
0.818 0.012 0.012 
0.817 0.012 0.012 
0.801 0.012 0.012 
0.802 0.012 0.012 
0.284 0.012 0.012 
0.750 0.012 0.012 
0.568 0.012 0.012 
0.367 0.012 0.012 
0.284 0.012 0.012 
0.868 3.776 3.776 
0.350 0.012 0.012 
0.334 0.012 0.012 
0.734 0.109 0.109 
0.918 0.012 0.012 
0.617 0.012 0.012 
0.768 0.012 0.012 
0.334 0.012 0.012 
0.968 0.012 0.012 
0.634 0.012 0.012 
0.751 0.012 0.012 
<><><><><><><><> 
Response (Std deviation):  1.78 
RT (mean):  0.15 
Consistency:  -0.00 
<><><><><><><><> 
End: 26-Feb-2014 11:04:10 
