<><><><><><><><> 
Begin: 26-Feb-2014 11:04:28 
0.583 0.012 0.012 
0.333 0.012 0.012 
0.834 0.012 0.012 
0.284 0.012 0.012 
0.434 0.012 0.012 
0.400 0.012 0.012 
0.634 0.012 0.012 
0.283 0.012 0.012 
0.533 0.012 0.012 
0.285 0.047 0.047 
0.300 0.011 0.011 
0.834 3.130 3.130 
0.435 0.012 0.012 
0.685 0.012 0.012 
0.967 0.012 0.012 
0.551 0.012 0.012 
0.751 0.012 0.012 
0.817 0.012 0.012 
0.551 0.012 0.012 
0.734 0.012 0.012 
0.283 0.012 0.012 
0.951 0.012 0.012 
0.350 0.012 0.012 
0.417 0.012 0.012 
0.850 0.012 0.012 
0.600 0.011 0.011 
0.818 0.012 0.012 
0.517 0.037 0.037 
0.417 0.012 0.012 
0.234 0.012 0.012 
0.735 0.012 0.012 
0.551 0.012 0.012 
0.568 0.072 0.072 
0.683 0.012 0.012 
0.250 0.012 0.012 
0.449 0.012 0.012 
0.818 0.012 0.012 
0.767 0.012 0.012 
0.301 0.012 0.012 
0.300 0.012 0.012 
0.283 0.012 0.012 
0.216 0.012 0.012 
0.534 0.012 0.012 
0.734 0.012 0.012 
0.784 0.011 0.011 
0.634 0.012 0.012 
0.283 0.012 0.012 
0.701 0.012 0.012 
0.301 0.012 0.012 
0.316 0.012 0.012 
0.284 0.012 0.012 
0.317 0.012 0.012 
0.334 0.012 0.012 
0.367 0.012 0.012 
0.451 0.012 0.012 
0.450 0.012 0.012 
0.384 0.012 0.012 
0.400 0.011 0.011 
0.918 0.012 0.012 
0.767 0.023 0.023 
0.651 0.012 0.012 
0.351 0.012 0.012 
0.368 0.012 0.012 
0.267 0.012 0.012 
0.934 0.012 0.012 
0.767 0.012 0.012 
0.651 0.012 0.012 
0.450 0.012 0.012 
0.334 0.011 0.011 
0.701 0.012 0.012 
1.001 0.012 0.012 
0.334 0.012 0.012 
0.416 0.012 0.012 
0.517 0.012 0.012 
0.267 0.035 0.035 
0.751 0.012 0.012 
0.517 0.012 0.012 
0.984 0.012 0.012 
0.518 0.012 0.012 
0.701 0.012 0.012 
0.333 0.011 0.011 
0.516 0.012 0.012 
0.334 0.011 0.011 
0.817 0.012 0.012 
0.902 0.012 0.012 
0.484 0.012 0.012 
0.751 0.011 0.011 
0.434 0.012 0.012 
0.633 0.012 0.012 
0.867 0.012 0.012 
0.684 0.012 0.012 
0.467 0.012 0.012 
0.450 0.011 0.011 
0.568 0.012 0.012 
0.534 0.011 0.011 
0.483 0.012 0.012 
0.651 0.012 0.012 
0.801 0.012 0.012 
0.550 0.012 0.012 
0.551 0.011 0.011 
0.300 0.012 0.012 
0.218 0.012 0.012 
0.434 0.012 0.012 
0.450 0.012 0.012 
0.733 0.046 0.046 
0.968 0.012 0.012 
0.951 0.012 0.012 
0.568 0.012 0.012 
0.400 0.012 0.012 
0.818 0.011 0.011 
0.817 0.012 0.012 
0.801 0.012 0.012 
0.801 0.094 0.094 
0.284 0.012 0.012 
0.751 0.012 0.012 
0.583 0.012 0.012 
0.367 0.012 0.012 
0.283 0.011 0.011 
0.868 0.084 0.084 
0.350 0.012 0.012 
0.334 0.048 0.048 
0.734 0.012 0.012 
0.917 0.012 0.012 
0.617 0.012 0.012 
0.768 0.012 0.012 
0.333 0.012 0.012 
0.967 0.346 0.346 
0.634 0.024 0.024 
0.751 0.012 0.012 
<><><><><><><><> 
Response (Std deviation):  1.71 
RT (mean):  0.03 
Consistency:  0.22 
<><><><><><><><> 
End: 26-Feb-2014 11:06:56 
